SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,NBA_FANTASY_PTS_RANK_ESPN,NET_ESPN,AVG_NET_ESPN
2022-23,Jaden McDaniels,MIN,22.0,226.0,1102.0,13.44
2022-23,De'Anthony Melton,MEM,25.0,227.0,1096.0,13.37
2022-23,Jonathan Kuminga,GSW,20.0,228.0,1080.0,13.17
2022-23,Pat Connaughton,MIL,30.0,229.0,1077.0,13.13
2022-23,Terance Mann,LAC,26.0,230.0,1076.0,13.12
2022-23,Nemanja Bjelica,GSW,35.0,231.0,1055.0,12.87
2022-23,Doug McDermott,SAS,31.0,232.0,1054.0,12.85
2022-23,Alex Len,SAC,30.0,232.0,1054.0,12.85
2022-23,Xavier Tillman Sr.,MEM,24.0,234.0,1052.0,12.83
2022-23,Nerlens Noel,NYK,29.0,235.0,1049.0,12.79
2022-23,Austin Rivers,DEN,30.0,236.0,1038.0,12.66
2022-23,Payton Pritchard,BOS,25.0,237.0,1033.0,12.6
2022-23,Jalen Suggs,ORL,22.0,238.0,1032.0,12.59
2022-23,Tre Mann,OKC,22.0,239.0,1027.0,12.52
2022-23,Grant Williams,BOS,24.0,240.0,1025.0,12.5
2022-23,Mo Bamba,ORL,25.0,241.0,1016.0,12.39
2022-23,Alec Burks,NYK,31.0,242.0,1013.0,12.35
2022-23,Devonte' Graham,NOP,28.0,243.0,1005.0,12.26
2022-23,Davis Bertans,DAL,30.0,244.0,1003.0,12.23
2022-23,Cody Zeller,POR,30.0,245.0,991.0,12.09
2022-23,Rui Hachimura,WAS,25.0,246.0,988.0,12.05
2022-23,Luke Kennard,LAC,27.0,247.0,987.0,12.04
2022-23,Kenyon Martin Jr.,HOU,22.0,248.0,982.0,11.98
2022-23,Austin Reaves,LAL,25.0,249.0,981.0,11.96
2022-23,Patrick Patterson,LAC,33.0,250.0,979.0,11.94
2022-23,Josh Okogie,MIN,24.0,251.0,976.0,11.9
2022-23,Kenrich Williams,OKC,28.0,252.0,974.0,11.88
2022-23,DeAndre' Bembry,MIL,28.0,253.0,965.0,11.77
2022-23,Naz Reid,MIN,23.0,254.0,963.0,11.74
2022-23,Trey Lyles,SAC,27.0,255.0,962.0,11.73
2022-23,Avery Bradley,LAL,32.0,256.0,957.0,11.67
2022-23,Cameron Payne,PHX,28.0,257.0,954.0,11.63
2022-23,Cam Reddish,NYK,23.0,258.0,953.0,11.62
2022-23,Patty Mills,BKN,34.0,259.0,952.0,11.61
2022-23,Robert Williams III,BOS,25.0,260.0,951.0,11.6
2022-23,Jose Alvarado,NOP,25.0,262.0,949.0,11.57
2022-23,Georges Niang,PHI,30.0,262.0,949.0,11.57
2022-23,E'Twaun Moore,PHX,33.0,262.0,949.0,11.57
2022-23,Cory Joseph,DET,31.0,264.0,948.0,11.56
2022-23,James Johnson,BKN,36.0,265.0,944.0,11.51
2022-23,Ben McLemore,POR,30.0,266.0,937.0,11.43
2022-23,Eric Paschall,UTA,26.0,267.0,934.0,11.39
2022-23,Frank Ntilikina,DAL,24.0,268.0,927.0,11.3
2022-23,Chuma Okeke,ORL,24.0,269.0,921.0,11.23
2022-23,Cam Thomas,BKN,21.0,270.0,903.0,11.01
2022-23,Derrick Jones Jr.,CHI,26.0,271.0,898.0,10.95
2022-23,Tyrese Maxey,PHI,22.0,272.0,895.0,10.91
2022-23,Damian Jones,SAC,28.0,273.0,894.0,10.9
2022-23,Justise Winslow,POR,27.0,274.0,889.0,10.84
2022-23,Ziaire Williams,MEM,21.0,275.0,888.0,10.83
2022-23,Stanley Johnson,LAL,27.0,276.0,878.0,10.71
2022-23,Luguentz Dort,OKC,24.0,277.0,876.0,10.68
2022-23,Gary Payton II,GSW,30.0,278.0,871.0,10.62
2022-23,Ish Smith,WAS,34.0,280.0,865.0,10.55
2022-23,Raul Neto,WAS,31.0,280.0,865.0,10.55
2022-23,Kevin Knox II,ATL,23.0,281.0,864.0,10.54
2022-23,Tarik Black,HOU,27.0,282.0,857.0,10.45
2022-23,Trendon Watford,POR,22.0,283.0,852.0,10.39
2022-23,Danuel House Jr.,UTA,30.0,284.0,845.0,10.3
2022-23,Michael Carter-Williams,ORL,30.0,285.0,844.0,10.29
2022-23,Terence Davis,SAC,26.0,286.0,842.0,10.27
2022-23,Deni Avdija,WAS,22.0,287.0,837.0,10.21
2022-23,Dewayne Dedmon,MIA,33.0,289.0,836.0,10.2
2022-23,Cedi Osman,CLE,28.0,289.0,836.0,10.2
2022-23,Nickeil Alexander-Walker,UTA,24.0,289.0,836.0,10.2
2022-23,Maurice Harkless,SAC,30.0,292.0,830.0,10.12
2022-23,Rodney Hood,LAC,30.0,292.0,830.0,10.12
2022-23,Jeremiah Robinson-Earl,OKC,22.0,293.0,824.0,10.05
2022-23,Javonte Green,CHI,29.0,294.0,815.0,9.94
2022-23,Devin Vassell,SAS,22.0,295.0,814.0,9.93
2022-23,Reggie Bullock,DAL,32.0,296.0,813.0,9.91
2022-23,Tony Snell,NOP,31.0,297.0,808.0,9.85
2022-23,Jonathan Isaac,ORL,23.0,298.0,803.0,9.79
2022-23,Kris Dunn,POR,29.0,298.0,803.0,9.79
2022-23,Malachi Flynn,TOR,25.0,300.0,794.0,9.68
2022-23,James Wiseman,GSW,21.0,301.0,788.0,9.61
2022-23,Aaron Wiggins,OKC,24.0,302.0,776.0,9.46
2022-23,Zion Williamson,NOP,21.0,303.0,774.0,9.44
2022-23,Frank Kaminsky,PHX,30.0,304.0,767.0,9.35
2022-23,Wayne Ellington,LAL,35.0,305.0,763.0,9.3
2022-23,Dejounte Murray,SAS,26.0,306.0,758.0,9.24
